"","gameID","sketchID","numBackground","numCausal","numFunctional","numSymbol","totalStrokes","propCausal","propFunctional","propSymbol","propBackground","_id","advance","batch","condition","corrKey","iterationName","key_press","keyboard_response","numTrials","orig_gameID","phase","prolificID","recruitmentPlatform","rt","rt_annotationToKeyResponse","sessionID","studyID","timeAnnotationPresented","timeMachinePresented","time_elapsed","toy_id","trialNum","trial_type","experiment_id","credit_token","corr_roi","causal_roi","legend","corrAns"
"1","0004-577bf22b-2757-4682-b982-6e283c8bb22a","levers_2.8099-977cb375-6430-4168-9a78-d0ac87428542",0,4,3,9,16,0.25,0.1875,0.5625,0,"604734e087b1e97510af6c8f","[' ']","38","explanatory",2,"pilot11",0,1615279328798,6,"8099-977cb375-6430-4168-9a78-d0ac87428542","intervention",NA,"sona",NA,5180,NA,NA,1615279323618,1615279317611,217379,"levers_2",0,"image-keyboard-response",1957,"94edbf1cbf524148b93e396bc6194eae","0","causal",0,1
"2","0004-577bf22b-2757-4682-b982-6e283c8bb22a","pulleys_2.6182-d61fc503-aec8-4628-a767-04fadedc083f",18,2,2,0,22,0.0909090909090909,0.0909090909090909,0,0.818181818181818,"6047351b87b1e97510af6c94","[' ']","38","depictive",1,"pilot11",0,1615279387511,6,"6182-d61fc503-aec8-4628-a767-04fadedc083f","intervention",NA,"sona",NA,7649,NA,NA,1615279379862,1615279373856,276092,"pulleys_2",5,"image-keyboard-response",1957,"94edbf1cbf524148b93e396bc6194eae","1","noncausal",1,0
"3","0004-577bf22b-2757-4682-b982-6e283c8bb22a","pulleys_1.7949-a2356f93-f47d-4e7d-ae6d-11f1e8409b36",3,6,2,0,11,0.545454545454545,0.181818181818182,0,0.272727272727273,"6047350c87b1e97510af6c93","[' ']","38","explanatory",1,"pilot11",0,1615279372847,6,"7949-a2356f93-f47d-4e7d-ae6d-11f1e8409b36","intervention",NA,"sona",NA,4991,NA,NA,1615279367856,1615279361847,261428,"pulleys_1",4,"image-keyboard-response",1957,"94edbf1cbf524148b93e396bc6194eae","0","causal",0,1
"4","0004-577bf22b-2757-4682-b982-6e283c8bb22a","gears_1.9393-2960082e-f208-4821-ac8e-759fbc3f4d02",0,2,2,0,4,0.5,0.5,0,0,"6047350087b1e97510af6c92","[' ']","38","explanatory",4,"pilot11",0,1615279360838,6,"9393-2960082e-f208-4821-ac8e-759fbc3f4d02","intervention",NA,"sona",NA,5578,NA,NA,1615279355260,1615279349252,249419,"gears_1",3,"image-keyboard-response",1957,"94edbf1cbf524148b93e396bc6194eae","0","causal",0,1
"5","0004-577bf22b-2757-4682-b982-6e283c8bb22a","levers_1.9226-c136ef9a-0131-4850-bf5f-1beaf85afcc6",2,7,0,5,14,0.5,0,0.357142857142857,0.142857142857143,"604734f487b1e97510af6c91","[' ']","38","explanatory",2,"pilot11",1,1615279348243,6,"9226-c136ef9a-0131-4850-bf5f-1beaf85afcc6","intervention",NA,"sona",NA,2342,NA,NA,1615279345901,1615279339889,236824,"levers_1",2,"image-keyboard-response",1957,"94edbf1cbf524148b93e396bc6194eae","1","causal",1,1
"6","0004-577bf22b-2757-4682-b982-6e283c8bb22a","gears_2.6913-0d12dbb2-8462-4303-b6cf-7479942d1541",7,3,3,0,13,0.230769230769231,0.230769230769231,0,0.538461538461538,"604734ea87b1e97510af6c90","[' ']","38","depictive",3,"pilot11",1,1615279338883,6,"6913-0d12dbb2-8462-4303-b6cf-7479942d1541","intervention",NA,"sona",NA,3066,NA,NA,1615279335817,1615279329807,227464,"gears_2",1,"image-keyboard-response",1957,"94edbf1cbf524148b93e396bc6194eae","1","causal",1,1
"7","0015-c9e71b48-c0e7-4097-ba80-0e7d545a8685","gears_2.1568-93d31830-7fa2-4f39-8dac-4da643666140",6,8,12,8,34,0.235294117647059,0.352941176470588,0.235294117647059,0.176470588235294,"5ff9a09c6e524f75b8b22f64","[' ']","14","explanatory",3,"pilot8",1,1610195100783,6,"1568-93d31830-7fa2-4f39-8dac-4da643666140","intervention",NA,"sona",NA,6843,NA,NA,1610195093940,1610195087930,571133,"gears_2",2,"image-keyboard-response",NA,NA,"1","causal",1,1
"8","0015-c9e71b48-c0e7-4097-ba80-0e7d545a8685","levers_1.4439-0eca0566-7cd9-4da5-b710-085e65a285e5",3,2,2,0,7,0.285714285714286,0.285714285714286,0,0.428571428571429,"5ff9a08f6e524f75b8b22f63","[' ']","14","depictive",2,"pilot8",0,1610195086924,6,"4439-0eca0566-7cd9-4da5-b710-085e65a285e5","intervention",NA,"sona",NA,8061,NA,NA,1610195078863,1610195072858,557274,"levers_1",1,"image-keyboard-response",NA,NA,"1","noncausal",1,0
"9","0015-c9e71b48-c0e7-4097-ba80-0e7d545a8685","gears_1.6945-10eab378-7b98-4663-bd65-4d741b54cbcc",1,2,4,0,7,0.285714285714286,0.571428571428571,0,0.142857142857143,"5ff9a0d76e524f75b8b22f67","[' ']","14","depictive",4,"pilot8",1,1610195158934,6,"6945-10eab378-7b98-4663-bd65-4d741b54cbcc","intervention",NA,"sona",NA,13922,NA,NA,1610195145012,1610195139003,629284,"gears_1",5,"image-keyboard-response",NA,NA,"0","noncausal",0,0
"10","0015-c9e71b48-c0e7-4097-ba80-0e7d545a8685","pulleys_2.6930-a8fd4222-86f3-4623-99f4-fb8794cd4962",33,2,2,0,37,0.0540540540540541,0.0540540540540541,0,0.891891891891892,"5ff9a0c26e524f75b8b22f66","[' ']","14","depictive",1,"pilot8",0,1610195137996,6,"6930-a8fd4222-86f3-4623-99f4-fb8794cd4962","intervention",NA,"sona",NA,19410,NA,NA,1610195118586,1610195112580,608346,"pulleys_2",4,"image-keyboard-response",NA,NA,"1","noncausal",1,0
"11","0015-c9e71b48-c0e7-4097-ba80-0e7d545a8685","pulleys_1.4659-683c0845-cf14-4240-bd20-573c8b7926d8",16,1,1,0,18,0.0555555555555556,0.0555555555555556,0,0.888888888888889,"5ff9a07f6e524f75b8b22f62","[' ']","14","depictive",1,"pilot8",0,1610195071852,6,"4659-683c0845-cf14-4240-bd20-573c8b7926d8","intervention",NA,"sona",NA,13471,NA,NA,1610195058381,1610195052374,542201,"pulleys_1",0,"image-keyboard-response",NA,NA,"0","causal",0,1
"12","0015-c9e71b48-c0e7-4097-ba80-0e7d545a8685","levers_2.5191-babaa9e9-312d-4429-8546-0b7b2395d92c",8,28,10,8,54,0.518518518518518,0.185185185185185,0.148148148148148,0.148148148148148,"5ff9a0a76e524f75b8b22f65","[' ']","14","explanatory",2,"pilot8",0,1610195111571,6,"5191-babaa9e9-312d-4429-8546-0b7b2395d92c","intervention",NA,"sona",NA,3776,NA,NA,1610195107795,1610195101789,581921,"levers_2",3,"image-keyboard-response",NA,NA,"0","causal",0,1
"13","0023-516f7a64-03a4-425a-bd15-b96f11f8fc07","gears_2.4565-36193ae4-51f5-4fa7-8105-88a5da44b9da",0,23,20,6,49,0.469387755102041,0.408163265306122,0.122448979591837,0,"5ffcf2ec6e524f75b8b2331b","[' ']","24","explanatory",3,"pilot8",0,1610412780535,6,"4565-36193ae4-51f5-4fa7-8105-88a5da44b9da","intervention",NA,"sona",NA,2003,NA,NA,1610412778532,1610412772529,397965,"gears_2",4,"image-keyboard-response",NA,NA,"1","noncausal",1,0
"14","0023-516f7a64-03a4-425a-bd15-b96f11f8fc07","gears_1.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847",8,5,4,0,17,0.294117647058824,0.235294117647059,0,0.470588235294118,"5ffcf2e36e524f75b8b2331a","[' ']","24","depictive",4,"pilot8",0,1610412771526,6,"3420-94c6faa4-2c3d-4f6f-a409-e9484a130847","intervention",NA,"sona",NA,4678,NA,NA,1610412766848,1610412760844,388956,"gears_1",3,"image-keyboard-response",NA,NA,"0","causal",0,1
"15","0023-516f7a64-03a4-425a-bd15-b96f11f8fc07","pulleys_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df",11,4,0,1,16,0.25,0,0.0625,0.6875,"5ffcf2d76e524f75b8b23319","[' ']","24","depictive",1,"pilot8",1,1610412759841,6,"0366-5aa209bd-fda5-4afd-b896-9371d73ab1df","intervention",NA,"sona",NA,6367,NA,NA,1610412753474,1610412747471,377271,"pulleys_1",2,"image-keyboard-response",NA,NA,"0","noncausal",0,0
"16","0023-516f7a64-03a4-425a-bd15-b96f11f8fc07","levers_1.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847",15,4,3,0,22,0.181818181818182,0.136363636363636,0,0.681818181818182,"5ffcf2ca6e524f75b8b23318","[' ']","24","depictive",2,"pilot8",0,1610412746468,6,"3420-94c6faa4-2c3d-4f6f-a409-e9484a130847","intervention",NA,"sona",NA,10730,NA,NA,1610412735738,1610412729736,363899,"levers_1",1,"image-keyboard-response",NA,NA,"1","noncausal",1,0
"17","0023-516f7a64-03a4-425a-bd15-b96f11f8fc07","levers_2.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59",0,1,1,4,6,0.166666666666667,0.166666666666667,0.666666666666667,0,"5ffcf2b86e524f75b8b23317","[' ']","24","explanatory",2,"pilot8",0,1610412728732,6,"0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59","intervention",NA,"sona",NA,7074,NA,NA,1610412721658,1610412715654,346163,"levers_2",0,"image-keyboard-response",NA,NA,"0","causal",0,1
"18","0023-516f7a64-03a4-425a-bd15-b96f11f8fc07","pulleys_2.7376-6f5f07d7-86c3-4c4c-a052-3634d7755b9d",0,0,1,0,1,0,1,0,0,"5ffcf3006e524f75b8b2331c","[' ']","24","explanatory",1,"pilot8",1,1610412800954,6,"7376-6f5f07d7-86c3-4c4c-a052-3634d7755b9d","intervention",NA,"sona",NA,13412,NA,NA,1610412787542,1610412781539,418384,"pulleys_2",5,"image-keyboard-response",NA,NA,"1","causal",1,1
"19","0076-1875687d-50c7-4be1-9eb4-2717f7fd4663","levers_2.8798-4a19eaf6-12f9-4a97-adf2-469707d7995f",8,4,5,0,17,0.235294117647059,0.294117647058824,0,0.470588235294118,"5ff9609f6e524f75b8b22f12","[' ']","8","depictive",2,"pilot8",0,1610178719003,6,"8798-4a19eaf6-12f9-4a97-adf2-469707d7995f","intervention",NA,"sona",NA,11595,NA,NA,1610178707408,1610178701406,275773,"levers_2",0,"image-keyboard-response",NA,NA,"0","causal",0,1
"20","0076-1875687d-50c7-4be1-9eb4-2717f7fd4663","levers_1.6943-85eb7519-bc4d-4f4f-8a72-18670800d8e6",0,6,5,0,11,0.545454545454545,0.454545454545455,0,0,"5ff960ec6e524f75b8b22f17","[' ']","8","depictive",2,"pilot8",1,1610178796047,6,"6943-85eb7519-bc4d-4f4f-8a72-18670800d8e6","intervention",NA,"sona",NA,4369,NA,NA,1610178791678,1610178785675,352817,"levers_1",5,"image-keyboard-response",NA,NA,"1","causal",1,1
"21","0076-1875687d-50c7-4be1-9eb4-2717f7fd4663","gears_1.4786-26a27eb2-3267-43ec-9911-66d292ce846f",1,2,2,4,9,0.222222222222222,0.222222222222222,0.444444444444444,0.111111111111111,"5ff960ae6e524f75b8b22f13","[' ']","8","explanatory",4,"pilot8",0,1610178733407,6,"4786-26a27eb2-3267-43ec-9911-66d292ce846f","intervention",NA,"sona",NA,7399,NA,NA,1610178726008,1610178720005,290177,"gears_1",1,"image-keyboard-response",NA,NA,"0","causal",0,1
"22","0076-1875687d-50c7-4be1-9eb4-2717f7fd4663","pulleys_2.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08",4,1,0,4,9,0.111111111111111,0,0.444444444444444,0.444444444444444,"5ff960c06e524f75b8b22f14","[' ']","8","explanatory",1,"pilot8",1,1610178752086,6,"4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08","intervention",NA,"sona",NA,11669,NA,NA,1610178740417,1610178734414,308856,"pulleys_2",2,"image-keyboard-response",NA,NA,"1","causal",1,1
